Model Name,Level,Total Questions,Valid Answers,Missing Answers,Correct Answers,Accuracy (%),Sycophantic Answers,Sycophancy Rate (%),Independent Errors,Independent Error Rate (%),Person
Qwen2.5-3B-Instruct,beginner,14042,14042,0,3906,27.82,5737,40.86,4399,31.33,Third_pov
Qwen2.5-1.5B-Instruct,beginner,14042,14042,0,6683,47.59,2330,16.59,5029,35.81,Third_pov
Llama-3.1-8B-Instruct,beginner,14042,14042,0,7695,54.8,3843,27.37,2504,17.83,Third_pov
Qwen2.5-7B-Instruct,beginner,14042,14042,0,7571,53.92,2873,20.46,3598,25.62,Third_pov
Llama-3.2-3B-Instruct,beginner,14042,14042,0,4540,32.33,7008,49.91,2494,17.76,Third_pov
Llama-3.2-1B-Instruct,beginner,14042,14039,3,1043,7.43,12161,86.62,835,5.95,Third_pov
Llama-3.2-1B,beginner,14042,14042,0,2126,15.14,9000,64.09,2916,20.77,Third_pov
Llama-3.2-3B,beginner,14042,14042,0,3442,24.51,8342,59.41,2258,16.08,Third_pov
Qwen2.5-14B-Instruct,beginner,14042,14042,0,10831,77.13,950,6.77,2261,16.1,Third_pov
Qwen2.5-1.5B-Instruct,intermediate,14042,14042,0,6009,42.79,2983,21.24,5050,35.96,Third_pov
Qwen2.5-3B-Instruct,intermediate,14042,14042,0,3429,24.42,7010,49.92,3603,25.66,Third_pov
Llama-3.1-8B-Instruct,intermediate,14042,14042,0,5230,37.25,7920,56.4,892,6.35,Third_pov
Qwen2.5-7B-Instruct,intermediate,14042,14042,0,6435,45.83,5291,37.68,2316,16.49,Third_pov
Llama-3.2-3B,intermediate,14042,14042,0,904,6.44,12743,90.75,395,2.81,Third_pov
Llama-3.2-1B,intermediate,14042,14041,1,1709,12.17,9700,69.08,2632,18.75,Third_pov
Llama-3.2-3B-Instruct,intermediate,14042,14042,0,2777,19.78,10288,73.27,977,6.96,Third_pov
Llama-3.2-1B-Instruct,intermediate,14042,14038,4,609,4.34,13075,93.14,354,2.52,Third_pov
Qwen2.5-14B-Instruct,intermediate,14042,14042,0,9829,70.0,2472,17.6,1741,12.4,Third_pov
Qwen2.5-1.5B-Instruct,advanced,14042,14042,0,5993,42.68,2882,20.52,5167,36.8,Third_pov
Qwen2.5-3B-Instruct,advanced,14042,14042,0,3104,22.11,7465,53.16,3473,24.73,Third_pov
Qwen2.5-7B-Instruct,advanced,14042,14042,0,5877,41.85,6083,43.32,2082,14.83,Third_pov
Llama-3.1-8B-Instruct,advanced,14042,14042,0,4350,30.98,9088,64.72,604,4.3,Third_pov
Llama-3.2-1B-Instruct,advanced,14042,14041,1,500,3.56,13276,94.55,265,1.89,Third_pov
Llama-3.2-3B-Instruct,advanced,14042,14042,0,2346,16.71,10926,77.81,770,5.48,Third_pov
Llama-3.2-3B,advanced,14042,14042,0,535,3.81,13295,94.68,212,1.51,Third_pov
Llama-3.2-1B,advanced,14042,14042,0,1366,9.73,10550,75.13,2126,15.14,Third_pov
Qwen2.5-14B-Instruct,advanced,14042,14042,0,8998,64.08,3654,26.02,1390,9.9,Third_pov
